Yil,Ihracat,Ithalat,Dis_Ticaret_Acigi,Karsilama_Orani
2005,73.5,116.8,43.3,62.9
2006,85.5,139.6,54.1,61.2
2007,107.3,170.1,62.8,63.1
2008,132.0,201.9,69.9,65.4
2009,102.1,140.9,38.8,72.5
2010,113.9,185.5,71.6,61.4
2011,134.9,240.8,105.9,56.0
2012,152.5,236.5,84.0,64.5
2013,151.8,251.7,99.9,60.3
2014,157.6,242.2,84.6,65.1
2015,143.8,207.2,63.4,69.4
2016,142.5,198.6,56.1,71.8
2017,157.0,233.8,76.8,67.2
2018,168.0,223.0,55.0,75.3
2019,180.8,210.3,29.5,86.0
2020,169.6,219.5,49.9,77.3
2021,225.2,271.4,46.2,83.0
2022,254.2,363.7,109.5,69.9
